Year,Country,Average Temp
1979,Nigeria,0.4812352941176471
1980,Nigeria,0.4073529411764706
1981,Nigeria,0.2606470588235294
1982,Nigeria,0.35152941176470587
1983,Nigeria,0.31994117647058823
1984,Nigeria,0.7361764705882352
1985,Nigeria,0.42964705882352944
1986,Nigeria,0.5296470588235294
1987,Nigeria,0.951764705882353
1988,Nigeria,0.48605882352941177
1989,Nigeria,-0.34717647058823525
1990,Nigeria,0.7998235294117648
1991,Nigeria,0.4675294117647059
1992,Nigeria,-0.042294117647058836
1993,Nigeria,0.6086470588235295
1994,Nigeria,0.3731764705882353
1995,Nigeria,0.583764705882353
1996,Nigeria,0.7767058823529412
1997,Nigeria,0.7181764705882352
1998,Nigeria,1.113
1999,Nigeria,0.7515294117647059
2000,Nigeria,0.5744117647058823
2001,Nigeria,0.41147058823529414
2002,Nigeria,0.775
2003,Nigeria,0.8604705882352942
2004,Nigeria,0.8530000000000001
2005,Nigeria,1.2778235294117644
2006,Nigeria,1.203
2007,Nigeria,1.0442352941176472
2008,Nigeria,0.7540588235294117
2009,Nigeria,1.404
2010,Nigeria,1.4840588235294119
2011,Nigeria,0.9191764705882353
2012,Nigeria,0.7184117647058824
2013,Nigeria,1.0925294117647057
2014,Nigeria,1.1315882352941178
2015,Nigeria,1.206941176470588
2016,Nigeria,1.4464705882352944
2017,Nigeria,1.3124117647058824
2018,Nigeria,1.1441176470588235
2019,Nigeria,1.3878823529411766
1961,South Africa,0.21288235294117644
1962,South Africa,0.31970588235294123
1963,South Africa,0.1808235294117647
1964,South Africa,-0.10923529411764706
1965,South Africa,-0.0010588235294117588
1966,South Africa,0.3237058823529412
1967,South Africa,-0.09270588235294117
1968,South Africa,-0.40182352941176475
1969,South Africa,0.2915294117647059
1970,South Africa,0.2990588235294118
1971,South Africa,-0.1501764705882353
1972,South Africa,0.17758823529411763
1973,South Africa,0.2281764705882353
1974,South Africa,-0.23088235294117648
1975,South Africa,-0.4539411764705883
1976,South Africa,
1977,South Africa,0.19782352941176473
1978,South Africa,0.004352941176470591
1979,South Africa,0.32823529411764707
1980,South Africa,0.18594117647058825
1981,South Africa,-0.3645882352941176
1982,South Africa,0.2228823529411765
1983,South Africa,0.6946470588235294
1984,South Africa,0.4645882352941177
1985,South Africa,0.6195294117647058
1986,South Africa,0.5167058823529411
1987,South Africa,0.6921176470588235
1988,South Africa,0.227
1989,South Africa,-0.0014117647058823706
1990,South Africa,0.2879411764705882
1991,South Africa,0.3342352941176471
1992,South Africa,0.8182352941176471
1993,South Africa,0.7671176470588236
1994,South Africa,0.19570588235294117
1995,South Africa,0.5192941176470589
1996,South Africa,-0.0923529411764706
1997,South Africa,0.2731176470588235
1998,South Africa,0.786235294117647
1999,South Africa,1.1403529411764708
2000,South Africa,0.23388235294117646
2001,South Africa,0.49347058823529416
